index,ref,polymer,contact_angle,poly_weight_kg/mol,supporter,mark,thickness_um,mmms,mmms_size_nm,poresize_nm,loading_wt%,mixture,composition_water_wt,temperature,feedpressure_bar,permeatepressure_mbar,total_flux_kgm2h,separationfactor_w_e,psi,truth,newpsi,Solubility_Parameter_solvent,Solubility_Parameter_polymer
30,30IPA_sa_JMS-1999-Moon-Novel two-ply composite membranes of chitosan and sodium alginate for the pervaporation dehydration of isopropanol and ethanol,sa,37.37,,,,45,,,,,water/ethanol,10,60,,3,0.3103,2363.885157,733.2032642,,1.046836264,26.5,37
30,30IPA_sa_JMS-1999-Moon-Novel two-ply composite membranes of chitosan and sodium alginate for the pervaporation dehydration of isopropanol and ethanol,sa,37.37,,,,45,,,,,water/ethanol,20,60,,3,0.5297,1499.077811,793.5318165,,1.682234066,26.5,37
30,30IPA_sa_JMS-1999-Moon-Novel two-ply composite membranes of chitosan and sodium alginate for the pervaporation dehydration of isopropanol and ethanol,cs,55.1,,,,45,,,,,water/ethanol,20,60,,3,0.6962,75.704358,52.00917404,,1.308243957,26.5,42.3
30,30IPA_sa_JMS-1999-Moon-Novel two-ply composite membranes of chitosan and sodium alginate for the pervaporation dehydration of isopropanol and ethanol,cs,55.1,,,,45,,,,,water/ipa,20,60,,3,0.8889,386.926848,343.0503752,,2.300143299,23.5,42.3
30,30IPA_sa_JMS-1999-Moon-Novel two-ply composite membranes of chitosan and sodium alginate for the pervaporation dehydration of isopropanol and ethanol,sa,37.37,,,,45,,,,,water/ethanol,30,60,,3,1.0065,1287.923625,1295.288629,,3.130104395,26.5,37
30,30IPA_sa_JMS-1999-Moon-Novel two-ply composite membranes of chitosan and sodium alginate for the pervaporation dehydration of isopropanol and ethanol,cs,55.1,,,,45,,,,,water/ethanol,30,60,,3,1.2486,41.246264,50.25148523,,2.016969233,26.5,42.3
30,30IPA_sa_JMS-1999-Moon-Novel two-ply composite membranes of chitosan and sodium alginate for the pervaporation dehydration of isopropanol and ethanol,cs,55.1,,,,45,,,,,water/ipa,30,60,,3,1.7778,118.076902,208.1393164,,3.683894848,23.5,42.3
30,30IPA_sa_JMS-1999-Moon-Novel two-ply composite membranes of chitosan and sodium alginate for the pervaporation dehydration of isopropanol and ethanol,sa,37.37,,,,45,,,,,water/ipa,20,60,,3,2.0317,1394.215469,2830.595868,,6.388335052,23.5,37
30,30IPA_sa_JMS-1999-Moon-Novel two-ply composite membranes of chitosan and sodium alginate for the pervaporation dehydration of isopropanol and ethanol,sa,37.37,,,,45,,,,,water/ipa,30,60,,3,3.619,1000,3615.381,,10.857,23.5,37
31,31IPA_sa_JMS-2004-Karidu-Development of novel pervaporation membranes for the separation of water??sopropanol mixtures using sodium alginate and NaY zeolite,sa,37.37,,,,40,,,,,water/ipa,5,30,,1.33,0.0506,385.26,19.443556,,0.130839148,23.5,37
31,31IPA_sa_JMS-2004-Karidu-Development of novel pervaporation membranes for the separation of water??sopropanol mixtures using sodium alginate and NaY zeolite,sa,37.37,,,,40,,,,,water/ipa,10,30,,1.33,0.0677,171,11.509,,0.151173837,23.5,37
31,31IPA_sa_JMS-2004-Karidu-Development of novel pervaporation membranes for the separation of water??sopropanol mixtures using sodium alginate and NaY zeolite,sa,37.37,,,,40,,,,,water/ipa,10,40,,1.33,0.0753,123.35,9.212955,,0.157462778,23.5,37
31,31IPA_sa_JMS-2004-Karidu-Development of novel pervaporation membranes for the separation of water??sopropanol mixtures using sodium alginate and NaY zeolite,sa,37.37,,,,40,,,,,water/ipa,15,30,,1.33,0.0998,103.31,10.210538,,0.201011408,23.5,37
31,31IPA_sa_JMS-2004-Karidu-Development of novel pervaporation membranes for the separation of water??sopropanol mixtures using sodium alginate and NaY zeolite,sa,37.37,,,,40,,,,,water/ipa,20,30,,1.33,0.0999,62.67,6.160833,,0.179526264,23.5,37
31,31IPA_sa_JMS-2004-Karidu-Development of novel pervaporation membranes for the separation of water??sopropanol mixtures using sodium alginate and NaY zeolite,sa,37.37,,,,40,,,,,water/ipa,25,30,,1.33,0.1,27,2.6,,0.143136376,23.5,37
31,31IPA_sa_JMS-2004-Karidu-Development of novel pervaporation membranes for the separation of water??sopropanol mixtures using sodium alginate and NaY zeolite,sa,37.37,,,,40,,,,,water/ipa,10,50,,1.33,0.157,87.77,13.62289,,0.305105337,23.5,37
32,32IPA_sa_JMS-2004-Toti-Different viscosity grade sodium alginate and modified sodium alginate membranes in pervaporation separation,sa,37.37,,,,30,,,,,water/aa,10,30,,13.3,0.022,15.7,0.3234,,0.026309792,21.4,37
32,32IPA_sa_JMS-2004-Toti-Different viscosity grade sodium alginate and modified sodium alginate membranes in pervaporation separation,sa,37.37,,,,30,,,,,water/aa,20,30,,13.3,0.069,21.8,1.4352,,0.092353498,21.4,37
32,32IPA_sa_JMS-2004-Toti-Different viscosity grade sodium alginate and modified sodium alginate membranes in pervaporation separation,sa,37.37,,,,30,,,,,water/aa,30,30,,13.3,0.258,6.31,1.36998,,0.206407575,21.4,37
32,32IPA_sa_JMS-2004-Toti-Different viscosity grade sodium alginate and modified sodium alginate membranes in pervaporation separation,sa,37.37,,,,30,,,,,water/aa,50,30,,13.3,0.477,2.7,0.8109,,0.205760516,21.4,37
32,32IPA_sa_JMS-2004-Toti-Different viscosity grade sodium alginate and modified sodium alginate membranes in pervaporation separation,sa,37.37,,,,30,,,,,water/aa,40,30,,13.3,0.485,3.96,1.4356,,0.289882165,21.4,37
33,33IPA_sa_JMS-2006-Bhat-Microporous alumino-phosphate (AlPO4-5) molecular sieve-loaded novel sodium alginate composite membranes for pervaporation!!!,sa,37.37,,,,10,,,,,water/ethanol,5,30,,13.3,0.028,22.331303,0.597276484,,0.037769594,26.5,37
33,33IPA_sa_JMS-2006-Bhat-Microporous alumino-phosphate (AlPO4-5) molecular sieve-loaded novel sodium alginate composite membranes for pervaporation!!!,sa,37.37,,,,10,,,,,water/ethanol,4,40,,13.3,0.036,27.914341,0.968916276,,0.052049786,26.5,37
33,33IPA_sa_JMS-2006-Bhat-Microporous alumino-phosphate (AlPO4-5) molecular sieve-loaded novel sodium alginate composite membranes for pervaporation!!!,sa,37.37,,,,10,,,,,water/ethanol,10,30,,13.3,0.036,10.556714,0.344041704,,0.036847035,26.5,37
33,33IPA_sa_JMS-2006-Bhat-Microporous alumino-phosphate (AlPO4-5) molecular sieve-loaded novel sodium alginate composite membranes for pervaporation!!!,sa,37.37,,,,10,,,,,water/ethanol,15,30,,13.3,0.053,6.58029,0.29575537,,0.043366987,26.5,37
33,33IPA_sa_JMS-2006-Bhat-Microporous alumino-phosphate (AlPO4-5) molecular sieve-loaded novel sodium alginate composite membranes for pervaporation!!!,sa,37.37,,,,10,,,,,water/ethanol,4,50,,13.3,0.098,25.792531,2.429668038,,0.138326408,26.5,37
33,33IPA_sa_JMS-2006-Bhat-Microporous alumino-phosphate (AlPO4-5) molecular sieve-loaded novel sodium alginate composite membranes for pervaporation!!!,sa,37.37,,,,10,,,,,water/ethanol,4,60,,13.3,0.121,23.932894,2.774880174,,0.166858421,26.5,37
33,33IPA_sa_JMS-2006-Bhat-Microporous alumino-phosphate (AlPO4-5) molecular sieve-loaded novel sodium alginate composite membranes for pervaporation!!!,sa,37.37,,,,10,,,,,water/ipa,10,30,,13.3,0.133,2423.432432,322.1835135,,0.450129312,23.5,37
33,33IPA_sa_JMS-2006-Bhat-Microporous alumino-phosphate (AlPO4-5) molecular sieve-loaded novel sodium alginate composite membranes for pervaporation!!!,sa,37.37,,,,10,,,,,water/ipa,15,30,,13.3,0.167,357.581197,59.5490599,,0.426413571,23.5,37
33,33IPA_sa_JMS-2006-Bhat-Microporous alumino-phosphate (AlPO4-5) molecular sieve-loaded novel sodium alginate composite membranes for pervaporation!!!,sa,37.37,,,,10,,,,,water/ethanol,4,70,,13.3,0.173,21.67079,3.57604667,,0.231106331,26.5,37
33,33IPA_sa_JMS-2006-Bhat-Microporous alumino-phosphate (AlPO4-5) molecular sieve-loaded novel sodium alginate composite membranes for pervaporation!!!,sa,37.37,,,,10,,,,,water/ipa,12.6,40,,13.3,0.183,534.978175,97.71800603,,0.4992855,23.5,37
33,33IPA_sa_JMS-2006-Bhat-Microporous alumino-phosphate (AlPO4-5) molecular sieve-loaded novel sodium alginate composite membranes for pervaporation!!!,sa,37.37,,,,10,,,,,water/ipa,12.6,50,,13.3,0.204,285.743152,58.08760301,,0.50101907,23.5,37
33,33IPA_sa_JMS-2006-Bhat-Microporous alumino-phosphate (AlPO4-5) molecular sieve-loaded novel sodium alginate composite membranes for pervaporation!!!,sa,37.37,,,,10,,,,,water/ipa,20,30,,13.3,0.232,223.272727,51.56727266,,0.544929877,23.5,37
33,33IPA_sa_JMS-2006-Bhat-Microporous alumino-phosphate (AlPO4-5) molecular sieve-loaded novel sodium alginate composite membranes for pervaporation!!!,sa,37.37,,,,10,,,,,water/ipa,12.6,60,,13.3,0.287,196.480147,56.10280219,,0.65818246,23.5,37
33,33IPA_sa_JMS-2006-Bhat-Microporous alumino-phosphate (AlPO4-5) molecular sieve-loaded novel sodium alginate composite membranes for pervaporation!!!,sa,37.37,,,,10,,,,,water/ipa,12.6,70,,13.3,0.332,159.806471,52.72374837,,0.731593328,23.5,37
34,34IPA_sa_JMS-2007-Bhat-Zeolite K-LTL-loaded sodium alginate mixed matrix membranes for pervaporation dehydration of aqueous??rganic mixtures,sa,37.37,,,,50,,,,,water/ipa,10,30,,13.3,0.062,653,40.424,,0.174524617,23.5,37
34,34IPA_sa_JMS-2007-Bhat-Zeolite K-LTL-loaded sodium alginate mixed matrix membranes for pervaporation dehydration of aqueous??rganic mixtures,sa,37.37,,,,50,,,,,water/ipa,12.6,30,,13.3,0.068,340,23.052,,0.172140566,23.5,37
34,34IPA_sa_JMS-2007-Bhat-Zeolite K-LTL-loaded sodium alginate mixed matrix membranes for pervaporation dehydration of aqueous??rganic mixtures,sa,37.37,,,,50,,,,,water/ipa,12.6,40,,13.3,0.072,243,17.424,,0.171763652,23.5,37
34,34IPA_sa_JMS-2007-Bhat-Zeolite K-LTL-loaded sodium alginate mixed matrix membranes for pervaporation dehydration of aqueous??rganic mixtures,sa,37.37,,,,50,,,,,water/ipa,20,30,,13.3,0.075,189,14.1,,0.170734635,23.5,37
34,34IPA_sa_JMS-2007-Bhat-Zeolite K-LTL-loaded sodium alginate mixed matrix membranes for pervaporation dehydration of aqueous??rganic mixtures,sa,37.37,,,,50,,,,,water/ipa,12.6,50,,13.3,0.08,174,13.84,,0.17924394,23.5,37
34,34IPA_sa_JMS-2007-Bhat-Zeolite K-LTL-loaded sodium alginate mixed matrix membranes for pervaporation dehydration of aqueous??rganic mixtures,sa,37.37,,,,50,,,,,water/ipa,12.6,60,,13.3,0.084,140,11.676,,0.180274755,23.5,37
34,34IPA_sa_JMS-2007-Bhat-Zeolite K-LTL-loaded sodium alginate mixed matrix membranes for pervaporation dehydration of aqueous??rganic mixtures,sa,37.37,,,,50,,,,,water/ipa,12.6,70,,13.3,0.087,109,9.396,,0.177256105,23.5,37
34,34IPA_sa_JMS-2007-Bhat-Zeolite K-LTL-loaded sodium alginate mixed matrix membranes for pervaporation dehydration of aqueous??rganic mixtures,sa,37.37,,,,50,,,,,water/ipa,30,30,,13.3,0.087,85,7.308,,0.167859447,23.5,37
34,34IPA_sa_JMS-2007-Bhat-Zeolite K-LTL-loaded sodium alginate mixed matrix membranes for pervaporation dehydration of aqueous??rganic mixtures,sa,37.37,,,,50,,,,,water/ipa,40,30,,13.3,0.127,38,4.699,,0.200632517,23.5,37
34,34IPA_sa_JMS-2007-Bhat-Zeolite K-LTL-loaded sodium alginate mixed matrix membranes for pervaporation dehydration of aqueous??rganic mixtures,sa,37.37,,,,50,,,,,water/ipa,50,30,,13.3,0.133,25,3.192,,0.185926021,23.5,37
35,35IPA_sa_Preparation and characterization of filled matrix membranes of sodium alginate incorporated with aluminum-containing mesoporous silica for pervaporation dehydr,sa,37.37,,,,62.5,,,,,water/ethanol,10,30,,13.3,0.027,35,0.918,,0.041689837,26.5,37
35,35IPA_sa_Preparation and characterization of filled matrix membranes of sodium alginate incorporated with aluminum-containing mesoporous silica for pervaporation dehydr,sa,37.37,,,,62.5,,,,,water/ethanol,20,30,,13.3,0.04,12,0.44,,0.04316725,26.5,37
35,35IPA_sa_Preparation and characterization of filled matrix membranes of sodium alginate incorporated with aluminum-containing mesoporous silica for pervaporation dehydr,sa,37.37,,,,62.5,,,,,water/ethanol,30,30,,13.3,0.042,6,0.21,,0.032682353,26.5,37
35,35IPA_sa_Preparation and characterization of filled matrix membranes of sodium alginate incorporated with aluminum-containing mesoporous silica for pervaporation dehydr,sa,37.37,,,,62.5,,,,,water/ipa,10,30,,13.3,0.067,653,43.684,,0.188599183,23.5,37
35,35IPA_sa_Preparation and characterization of filled matrix membranes of sodium alginate incorporated with aluminum-containing mesoporous silica for pervaporation dehydr,sa,37.37,,,,62.5,,,,,water/ipa,20,30,,13.3,0.122,223,27.084,,0.286493193,23.5,37
35,35IPA_sa_Preparation and characterization of filled matrix membranes of sodium alginate incorporated with aluminum-containing mesoporous silica for pervaporation dehydr,sa,37.37,,,,62.5,,,,,water/ipa,30,30,,13.3,0.143,127,18.018,,0.300843932,23.5,37
36,36IPA_sa_SPT-2005-Bhat-Mesoporous molecular sieve (MCM-41)-filled sodium alginate hybrid nanocomposite,sa,37.37,,,,50,,,,,water/ipa,10,30,,13.3,0.0679,653,44.2708,,0.191132605,23.5,37
36,36IPA_sa_SPT-2005-Bhat-Mesoporous molecular sieve (MCM-41)-filled sodium alginate hybrid nanocomposite,sa,37.37,,,,50,,,,,water/ipa,20,30,,13.3,0.1242,223,27.5724,,0.291659464,23.5,37
36,36IPA_sa_SPT-2005-Bhat-Mesoporous molecular sieve (MCM-41)-filled sodium alginate hybrid nanocomposite,sa,37.37,,,,50,,,,,water/ipa,30,30,,13.3,0.1701,127,21.4326,,0.357857013,23.5,37
36,36IPA_sa_SPT-2005-Bhat-Mesoporous molecular sieve (MCM-41)-filled sodium alginate hybrid nanocomposite,sa,37.37,,,,50,,,,,water/ipa,40,30,,13.3,0.2411,38,8.9207,,0.380885825,23.5,37
36,36IPA_sa_SPT-2005-Bhat-Mesoporous molecular sieve (MCM-41)-filled sodium alginate hybrid nanocomposite,sa,37.37,,,,50,,,,,water/ipa,50,30,,13.3,0.3536,25,8.4864,,0.494311587,23.5,37
37,37IPA_sa_SPT-2007-Sodium alginate??agnesium aluminum silicate mixed matrix membranes for pervaporation separation of water??sopropanol mixtures,sa,37.37,,,,50,,,,,water/ipa,10,30,,13.3,0.062,653,40.424,,0.174524617,23.5,37
37,37IPA_sa_SPT-2007-Sodium alginate??agnesium aluminum silicate mixed matrix membranes for pervaporation separation of water??sopropanol mixtures,sa,37.37,,,,50,,,,,water/ipa,20,30,,13.3,0.085,223,18.87,,0.199605913,23.5,37
37,37IPA_sa_SPT-2007-Sodium alginate??agnesium aluminum silicate mixed matrix membranes for pervaporation separation of water??sopropanol mixtures,sa,37.37,,,,50,,,,,water/ipa,10,40,,13.3,0.107,355,37.878,,0.272874434,23.5,37
37,37IPA_sa_SPT-2007-Sodium alginate??agnesium aluminum silicate mixed matrix membranes for pervaporation separation of water??sopropanol mixtures,sa,37.37,,,,50,,,,,water/ipa,30,30,,13.3,0.109,127,13.734,,0.229314606,23.5,37
37,37IPA_sa_SPT-2007-Sodium alginate??agnesium aluminum silicate mixed matrix membranes for pervaporation separation of water??sopropanol mixtures,sa,37.37,,,,50,,,,,water/ipa,10,50,,13.3,0.121,285,34.364,,0.297036228,23.5,37
37,37IPA_sa_SPT-2007-Sodium alginate??agnesium aluminum silicate mixed matrix membranes for pervaporation separation of water??sopropanol mixtures,sa,37.37,,,,50,,,,,water/ipa,30,40,,13.3,0.122,56,6.71,,0.213278939,23.5,37
37,37IPA_sa_SPT-2007-Sodium alginate??agnesium aluminum silicate mixed matrix membranes for pervaporation separation of water??sopropanol mixtures,sa,37.37,,,,50,,,,,water/ipa,20,40,,13.3,0.131,118,15.327,,0.271416543,23.5,37
37,37IPA_sa_SPT-2007-Sodium alginate??agnesium aluminum silicate mixed matrix membranes for pervaporation separation of water??sopropanol mixtures,sa,37.37,,,,50,,,,,water/ipa,40,30,,13.3,0.145,38,5.365,,0.229068622,23.5,37
37,37IPA_sa_SPT-2007-Sodium alginate??agnesium aluminum silicate mixed matrix membranes for pervaporation separation of water??sopropanol mixtures,sa,37.37,,,,50,,,,,water/ipa,20,50,,13.3,0.157,93,14.444,,0.309051823,23.5,37
37,37IPA_sa_SPT-2007-Sodium alginate??agnesium aluminum silicate mixed matrix membranes for pervaporation separation of water??sopropanol mixtures,sa,37.37,,,,50,,,,,water/ipa,50,30,,13.3,0.177,25,4.248,,0.247435382,23.5,37
37,37IPA_sa_SPT-2007-Sodium alginate??agnesium aluminum silicate mixed matrix membranes for pervaporation separation of water??sopropanol mixtures,sa,37.37,,,,50,,,,,water/ipa,30,50,,13.3,0.182,34,6.006,,0.278729163,23.5,37
38,38IPA_sa_SPT-2013-Adoor-Exploration of nanocomposite membranes composed of phosphotungstic acid in sodium alginate for ,sa,37.37,,,,50,,,,,water/ethanol,10,30,,0.06,0.0391,24,0.8993,,0.05396626,26.5,37
38,38IPA_sa_SPT-2013-Adoor-Exploration of nanocomposite membranes composed of phosphotungstic acid in sodium alginate for ,sa,37.37,,,,50,,,,,water/ethanol,10,40,,0.06,0.0531,17,0.8496,,0.065336838,26.5,37
38,38IPA_sa_SPT-2013-Adoor-Exploration of nanocomposite membranes composed of phosphotungstic acid in sodium alginate for ,sa,37.37,,,,50,,,,,water/ipa,10,30,,0.06,0.0646,678,43.7342,,0.182897438,23.5,37
38,38IPA_sa_SPT-2013-Adoor-Exploration of nanocomposite membranes composed of phosphotungstic acid in sodium alginate for ,sa,37.37,,,,50,,,,,water/ethanol,10,50,,0.06,0.0675,13,0.81,,0.075191176,26.5,37
38,38IPA_sa_SPT-2013-Adoor-Exploration of nanocomposite membranes composed of phosphotungstic acid in sodium alginate for ,sa,37.37,,,,50,,,,,water/ethanol,10,60,,0.06,0.0843,8,0.5901,,0.076130486,26.5,37
38,38IPA_sa_SPT-2013-Adoor-Exploration of nanocomposite membranes composed of phosphotungstic acid in sodium alginate for ,sa,37.37,,,,50,,,,,water/ipa,10,50,,0.06,0.0849,278,23.5173,,0.207499403,23.5,37
38,38IPA_sa_SPT-2013-Adoor-Exploration of nanocomposite membranes composed of phosphotungstic acid in sodium alginate for ,sa,37.37,,,,50,,,,,water/ipa,10,40,,0.06,0.0906,328,29.6262,,0.22793817,23.5,37
38,38IPA_sa_SPT-2013-Adoor-Exploration of nanocomposite membranes composed of phosphotungstic acid in sodium alginate for ,sa,37.37,,,,50,,,,,water/ipa,10,60,,0.06,0.145,148,21.315,,0.314687949,23.5,37
41,41IPA_cs_67 JMS-2005-Kittur-Preparation and characterization of novel pervaporation membranes for the separation of water??sopr,cs,55.1,,,,40,,,,,water/ipa,5,30,,13.3,0.032,422,13.472,,0.084009998,23.5,42.3
41,41IPA_cs_67 JMS-2005-Kittur-Preparation and characterization of novel pervaporation membranes for the separation of water??sopr,cs,55.1,,,,40,,,,,water/ipa,10,30,,13.3,0.0478,171,8.126,,0.106737214,23.5,42.3
41,41IPA_cs_67 JMS-2005-Kittur-Preparation and characterization of novel pervaporation membranes for the separation of water??sopr,cs,55.1,,,,40,,,,,water/ipa,15,30,,13.3,0.0649,66.115702,4.22600906,,0.118137769,23.5,42.3
41,41IPA_cs_67 JMS-2005-Kittur-Preparation and characterization of novel pervaporation membranes for the separation of water??sopr,cs,55.1,,,,40,,,,,water/ipa,20,30,,13.3,0.0808,41.322314,3.258042971,,0.130587718,23.5,42.3
41,41IPA_cs_67 JMS-2005-Kittur-Preparation and characterization of novel pervaporation membranes for the separation of water??sopr,cs,55.1,,,,40,,,,,water/ipa,10,40,,13.3,0.0863,104.8,8.95794,,0.174357179,23.5,42.3
41,41IPA_cs_67 JMS-2005-Kittur-Preparation and characterization of novel pervaporation membranes for the separation of water??sopr,cs,55.1,,,,40,,,,,water/ipa,25,30,,13.3,0.1043,24.793388,2.481650368,,0.145429232,23.5,42.3
41,41IPA_cs_67 JMS-2005-Kittur-Preparation and characterization of novel pervaporation membranes for the separation of water??sopr,cs,55.1,,,,40,,,,,water/ipa,30,30,,13.3,0.1094,24.793388,2.602996647,,0.152540345,23.5,42.3
41,41IPA_cs_67 JMS-2005-Kittur-Preparation and characterization of novel pervaporation membranes for the separation of water??sopr,cs,55.1,,,,40,,,,,water/ipa,10,50,,13.3,0.141,72.9,10.1379,,0.262644581,23.5,42.3
42,"42IPA_cs_JMCA-2015-Premakshi-Development of pervaporation membranes using chitosan and titanium glycine-N,N-dimethylphosphonate for dehydration of isopropanol",cs,55.1,,,,40,,,,,water/ipa,5,30,,13.3,0.0285,1469.849246,41.86220351,,0.090267275,23.5,42.3
42,"42IPA_cs_JMCA-2015-Premakshi-Development of pervaporation membranes using chitosan and titanium glycine-N,N-dimethylphosphonate for dehydration of isopropanol",cs,55.1,,,,40,,,,,water/ipa,10,30,,13.3,0.0314,540.201005,16.93091156,,0.085802239,23.5,42.3
42,"42IPA_cs_JMCA-2015-Premakshi-Development of pervaporation membranes using chitosan and titanium glycine-N,N-dimethylphosphonate for dehydration of isopropanol",cs,55.1,,,,40,,,,,water/ipa,15,30,,13.3,0.0537,175.879397,9.391023619,,0.120568044,23.5,42.3
42,"42IPA_cs_JMCA-2015-Premakshi-Development of pervaporation membranes using chitosan and titanium glycine-N,N-dimethylphosphonate for dehydration of isopropanol",cs,55.1,,,,40,,,,,water/ipa,20,30,,13.3,0.0732,50.251256,3.605191939,,0.124523955,23.5,42.3
42,"42IPA_cs_JMCA-2015-Premakshi-Development of pervaporation membranes using chitosan and titanium glycine-N,N-dimethylphosphonate for dehydration of isopropanol",cs,55.1,,,,40,,,,,water/ipa,25,30,,13.3,0.1031,50.251256,5.077804494,,0.175388248,23.5,42.3
43,43IPA_cs_JMS-2007-Choudhari-Development of novel blocked diisocyanate crosslinked chitosan membranes for pervaporation separation of water??sopropanol mixtures,cs,55.1,,,,40,,,,,water/ipa,5,30,,13.3,0.0466,617.169374,28.71349283,,0.130032843,23.5,42.3
43,43IPA_cs_JMS-2007-Choudhari-Development of novel blocked diisocyanate crosslinked chitosan membranes for pervaporation separation of water??sopropanol mixtures,cs,55.1,,,,40,,,,,water/ipa,10,30,,13.3,0.0731,265,19.2984,,0.177139273,23.5,42.3
43,43IPA_cs_JMS-2007-Choudhari-Development of novel blocked diisocyanate crosslinked chitosan membranes for pervaporation separation of water??sopropanol mixtures,cs,55.1,,,,40,,,,,water/ipa,20,30,,13.3,0.1079,97.447796,10.40671719,,0.214588501,23.5,42.3
43,43IPA_cs_JMS-2007-Choudhari-Development of novel blocked diisocyanate crosslinked chitosan membranes for pervaporation separation of water??sopropanol mixtures,cs,55.1,,,,40,,,,,water/ipa,10,40,,13.3,0.1084,105,11.2736,,0.21909692,23.5,42.3
43,43IPA_cs_JMS-2007-Choudhari-Development of novel blocked diisocyanate crosslinked chitosan membranes for pervaporation separation of water??sopropanol mixtures,cs,55.1,,,,40,,,,,water/ipa,10,50,,13.3,0.1274,73,9.1728,,0.237387332,23.5,42.3
43,43IPA_cs_JMS-2007-Choudhari-Development of novel blocked diisocyanate crosslinked chitosan membranes for pervaporation separation of water??sopropanol mixtures,cs,55.1,,,,40,,,,,water/ipa,10,60,,13.3,0.1659,58,9.4563,,0.292552704,23.5,42.3
43,43IPA_cs_JMS-2007-Choudhari-Development of novel blocked diisocyanate crosslinked chitosan membranes for pervaporation separation of water??sopropanol mixtures,cs,55.1,,,,40,,,,,water/ipa,30,30,,13.3,0.1669,32.482599,5.254445773,,0.252294514,23.5,42.3
43,43IPA_cs_JMS-2007-Choudhari-Development of novel blocked diisocyanate crosslinked chitosan membranes for pervaporation separation of water??sopropanol mixtures,cs,55.1,,,,40,,,,,water/ipa,40,30,,13.3,0.2152,32.482599,6.775055305,,0.325307246,23.5,42.3
44,44butanol_sa_Preparation of poly(vinyl alcohol)-sodium alginate hollow-fiber composite membranes and pervaporation ,sa,37.37,,,,1.8,,,,,water/ethanol,10,45,,1,0.2783,562.790698,156.3463513,,0.765421545,26.5,37
44,44butanol_sa_Preparation of poly(vinyl alcohol)-sodium alginate hollow-fiber composite membranes and pervaporation ,sa,37.37,,,,1.8,,,,,water/ipa,10,45,,1,0.3152,1974.883721,622.1681489,,1.03875469,23.5,37
44,44butanol_sa_Preparation of poly(vinyl alcohol)-sodium alginate hollow-fiber composite membranes and pervaporation ,pva,74,,,,1.8,,,,,water/ethanol,10,45,,1,0.4028,235.348837,94.39571154,,0.955325616,26.5,25.8
44,44butanol_sa_Preparation of poly(vinyl alcohol)-sodium alginate hollow-fiber composite membranes and pervaporation ,sa,37.37,,,,1.8,,,,,water/butanol,10,45,,1,0.4765,859.534884,409.0918722,,1.398176561,23.1,37
44,44butanol_sa_Preparation of poly(vinyl alcohol)-sodium alginate hollow-fiber composite membranes and pervaporation ,pva,74,,,,1.8,,,,,water/ipa,10,45,,1,0.4788,511.627907,244.4886419,,1.297047283,23.5,25.8
44,44butanol_sa_Preparation of poly(vinyl alcohol)-sodium alginate hollow-fiber composite membranes and pervaporation ,pva,74,,,,1.8,,,,,water/butanol,10,45,,1,0.624,573.023256,356.9425117,,1.721099483,23.1,25.8
55,55butanol_ptmsp_Novel PTMSP-based membranes containing elastomeric fillers Enhanced 1-butanol water pervaporation selectivity and permeability.pdf,ptmsp,100,,,,20,,,,,water/butanol,99,25,,2.7,0.0809,0.01393,-0.079773063,,-0.150154355,23.1,15.8
55,55butanol_ptmsp_Novel PTMSP-based membranes containing elastomeric fillers Enhanced 1-butanol water pervaporation selectivity and permeability.pdf,ptmsp,100,,,,20,,,,,water/butanol,98.5,25,,2.7,0.0879,0.013592,-0.086705263,,-0.164084392,23.1,15.8
55,55butanol_ptmsp_Novel PTMSP-based membranes containing elastomeric fillers Enhanced 1-butanol water pervaporation selectivity and permeability.pdf,ptmsp,100,,,,20,,,,,water/butanol,98,25,,2.7,0.102,0.012613,-0.100713474,,-0.193716524,23.1,15.8
55,55butanol_ptmsp_Novel PTMSP-based membranes containing elastomeric fillers Enhanced 1-butanol water pervaporation selectivity and permeability.pdf,ptmsp,100,,,,20,,,,,water/butanol,97.5,25,,2.7,0.1329,0.012174,-0.131282075,,-0.254445915,23.1,15.8
55,55butanol_ptmsp_Novel PTMSP-based membranes containing elastomeric fillers Enhanced 1-butanol water pervaporation selectivity and permeability.pdf,ptmsp,100,,,,20,,,,,water/butanol,97,25,,2.7,0.1596,0.012444,-0.157613938,,-0.304044384,23.1,15.8
55,55butanol_ptmsp_Novel PTMSP-based membranes containing elastomeric fillers Enhanced 1-butanol water pervaporation selectivity and permeability.pdf,ptmsp,100,,,,20,,,,,water/butanol,96.5,25,,2.7,0.2003,0.012227,-0.197850932,,-0.383109822,23.1,15.8
55,55butanol_ptmsp_Novel PTMSP-based membranes containing elastomeric fillers Enhanced 1-butanol water pervaporation selectivity and permeability.pdf,ptmsp,100,,,,20,,,,,water/butanol,96,25,,2.7,0.2466,0.012227,-0.243584822,,-0.47166691,23.1,15.8
55,55butanol_ptmsp_Novel PTMSP-based membranes containing elastomeric fillers Enhanced 1-butanol water pervaporation selectivity and permeability.pdf,ptmsp,100,,,,20,,,,,water/butanol,95.5,25,,2.7,0.2972,0.012069,-0.293613093,,-0.570127293,23.1,15.8
55,55butanol_ptmsp_Novel PTMSP-based membranes containing elastomeric fillers Enhanced 1-butanol water pervaporation selectivity and permeability.pdf,ptmsp,100,,,,20,,,,,water/butanol,95,25,,2.7,0.3646,0.011864,-0.360274386,,-0.702135327,23.1,15.8
